,地市,公司,0,1,2,3,4,5,6,7,8,9
0,阿克苏地区,辽宁华锦化工（集团）有限责任公司,,0,,,,,,,,
1,阿克苏地区,金正大生态工程集团股份有限公司,0,,,,,,,,,
2,阿拉尔市,四川美丰化工股份有限公司,,,,,,,,,,
3,白银市,双赢集团有限公司,,,,,,,,,,
4,保定市,湖北新洋丰肥业股份有限公司,,,,,,,,,,
5,保山市,云南云天化股份有限公司,,,,,,,,,,
6,北海市,瓮福（集团）有限责任公司,,,,,,,,,,
7,北京市,中国化工集团公司,,0,0,1,1,,,,,
8,北京市,深圳市芭田生态工程股份有限公司,0,,3,0,0,,,,,
9,北京市,湖北新洋丰肥业股份有限公司,0,3,,0,0,,,,,
10,北京市,贵州赤天化集团有限责任公司,1,0,0,,1,,,,,
11,北京市,甘肃刘化（集团）有限公司,1,0,0,1,,,,,,
12,毕节市,湖北宜化化工股份有限公司,,,,,,,,,,
13,亳州市,安徽省宁国司尔特化肥有限公司???,,,,,,,,,,
14,沧州市,阳煤化工股份有限公司,,1,,,,,,,,
15,沧州市,史丹利农业集团股份有限公司,1,,,,,,,,,
16,昌吉回族自治州,金正大生态工程集团股份有限公司,,2,,,,,,,,
17,昌吉回族自治州,成都云图控股股份有限公司,2,,,,,,,,,
18,常州市,江苏中东集团有限公司,,,,,,,,,,
19,成都市,香港米高实业有限公司,,0,0,2,1,0,,,,
20,成都市,四川化工控股(集团）有限责任公司,0,,0,0,1,0,,,,
21,成都市,四川宏达实业有限公司,0,0,,1,0,0,,,,
22,成都市,玖源化工(集团)有限公司,2,0,1,,0,0,,,,
23,成都市,富利香港有限公司,1,1,0,0,,0,,,,
24,成都市,成都云图控股股份有限公司,0,0,0,0,0,,,,,
25,赤峰市,双赢集团有限公司,,,,,,,,,,
26,滁州市,安徽海丰精细化工股份有限公司,,,,,,,,,,
27,楚雄彝族自治州,云南云天化股份有限公司,,,,,,,,,,
28,达州市,无锡市中远化工有限公司???,,0,,,,,,,,
29,达州市,玖源化工(集团)有限公司,0,,,,,,,,,
30,大理白族自治州,云南云叶化肥股份有限公司??,,1,,,,,,,,
31,大理白族自治州,云南煤化工集团有限公司,1,,,,,,,,,
32,大连市,大化集团有限责任公司,,,,,,,,,,
33,大庆市,庆丰农业生产资料集团有限责任公司,,,,,,,,,,
34,德阳市,四川美丰化工股份有限公司,,0,0,,,,,,,
35,德阳市,四川宏达实业有限公司,0,,0,,,,,,,
36,德阳市,惠多利农资有限公司,0,0,,,,,,,,
37,德州市,中化化肥有限公司?,,0,0,1,2,0,,,,
38,德州市,阳煤化工股份有限公司,0,,0,1,0,0,,,,
39,德州市,烟台众德集团有限公司,0,0,,0,1,0,,,,
40,德州市,史丹利农业集团股份有限公司,1,1,0,,1,1,,,,
41,德州市,金正大生态工程集团股份有限公司,2,0,1,1,,2,,,,
42,德州市,成都云图控股股份有限公司,0,0,0,1,2,,,,,
43,定西市,史丹利农业集团股份有限公司,,,,,,,,,,
44,东方市,中海石油化学股份有限公司,,,,,,,,,,
45,鄂尔多斯市,湖北宜化集团有限责任公司,,1,,,,,,,,
46,鄂尔多斯市,湖北宜化化工股份有限公司,1,,,,,,,,,
47,佛山市,香港米高实业有限公司,,0,2,,,,,,,
48,佛山市,青岛海湾集团有限公司,0,,1,,,,,,,
49,佛山市,富利香港有限公司,2,1,,,,,,,,
50,扶余市,中盐安徽红四方股份有限公司??,,0,0,,,,,,,
51,扶余市,史丹利农业集团股份有限公司,0,,1,,,,,,,
52,扶余市,湖北新洋丰肥业股份有限公司,0,1,,,,,,,,
53,阜阳市,中农集团控股股份有限公司,,3,0,,,,,,,
54,阜阳市,山西晋城无烟煤矿业集团有限责任公司?,3,,1,,,,,,,
55,阜阳市,安徽六国化工股份有限公司,0,1,,,,,,,,
56,公主岭市,烟台众德集团有限公司,,1,,,,,,,,
57,公主岭市,烟台市农业生产资料总公司,1,,,,,,,,,
58,广安市,玖源化工(集团)有限公司,,,,,,,,,,
59,广州市,富利香港有限公司,,,,,,,,,,
60,贵港市,史丹利农业集团股份有限公司,,0,,,,,,,,
61,贵港市,深圳市芭田生态工程股份有限公司,0,,,,,,,,,
62,贵阳市,中化化肥有限公司?,,0,1,1,1,0,0,0,,
63,贵阳市,中国化工集团公司,0,,0,0,0,1,1,0,,
64,贵阳市,兖矿集团有限公司???,1,0,,0,0,0,0,0,,
65,贵阳市,瓮福（集团）有限责任公司,1,0,0,,0,0,0,0,,
66,贵阳市,双赢集团有限公司,1,0,0,0,,0,0,0,,
67,贵阳市,贵州赤天化集团有限责任公司,0,1,0,0,0,,1,0,,
68,贵阳市,甘肃刘化（集团）有限公司,0,1,0,0,0,1,,0,,
69,贵阳市,安徽省宁国司尔特化肥有限公司???,0,0,0,0,0,0,0,,,
70,桂林市,宁波远东化工集团有限公司,,0,,,,,,,,
71,桂林市,泸天化(集团)有限责任公司,0,,,,,,,,,
72,哈尔滨市,烟台市农业生产资料总公司,,1,,,,,,,,
73,哈尔滨市,金正大生态工程集团股份有限公司,1,,,,,,,,,
74,海口市,中国石油化工集团公司???,,0,,,,,,,,
75,海口市,金正大生态工程集团股份有限公司,0,,,,,,,,,
76,海西蒙古族藏族自治州,中农集团控股股份有限公司,,0,0,0,,,,,,
77,海西蒙古族藏族自治州,青海盐湖工业股份有限公司,0,,0,0,,,,,,
78,海西蒙古族藏族自治州,青海省冷湖天田钾肥有限公司,0,0,,0,,,,,,
79,海西蒙古族藏族自治州,藏格控股股份有限公司,0,0,0,,,,,,,
80,合肥市,中盐安徽红四方股份有限公司??,,0,0,0,,,,,,
81,合肥市,无锡市中远化工有限公司???,0,,0,0,,,,,,
82,合肥市,金正大生态工程集团股份有限公司,0,0,,0,,,,,,
83,合肥市,安徽海丰精细化工股份有限公司,0,0,0,,,,,,,
84,河池市,中国化工集团公司,,,,,,,,,,
85,菏泽市,烟台众德集团有限公司,,0,0,0,1,0,0,,,
86,菏泽市,潍坊昌大肥料有限公司,0,,0,0,0,0,0,,,
87,菏泽市,山西晋城无烟煤矿业集团有限责任公司??,0,0,,1,0,1,0,,,
88,菏泽市,山东明水化工有限公司,0,0,1,,0,0,0,,,
89,菏泽市,金正大生态工程集团股份有限公司,1,0,0,0,,1,0,,,
90,菏泽市,湖北新洋丰肥业股份有限公司,0,0,1,0,1,,0,,,
91,菏泽市,湖北祥云（集团）化工股份有限公司,0,0,0,0,0,0,,,,
92,鹤岗市,中海石油化学股份有限公司,,,,,,,,,,
93,衡水市,阳煤化工股份有限公司,,0,1,,,,,,,
94,衡水市,河北天人化工股份有限公司,0,,0,,,,,,,
95,衡水市,沧州大化集团有限责任公司,1,0,,,,,,,,
96,衡阳市,宁波远东化工集团有限公司,,,,,,,,,,
97,红河哈尼族彝族自治州,云南云天化股份有限公司?,,,,,,,,,,
98,呼和浩特市,中海石油化学股份有限公司,,,,,,,,,,
99,呼伦贝尔市,云南云天化股份有限公司,,,,,,,,,,
100,葫芦岛市,庆丰农业生产资料集团有限责任公司,,,,,,,,,,
101,黄冈市,湖北祥云（集团）化工股份有限公司,,,,,,,,,,
102,惠州市,富利香港有限公司,,,,,,,,,,
103,吉林市,史丹利农业集团股份有限公司,,,,,,,,,,
104,济南市,山西晋城无烟煤矿业集团有限责任公司,,1,,,,,,,,
105,济南市,山东明水化工有限公司,1,,,,,,,,,
106,济宁市,中国石油化工集团公司???,,0,0,,,,,,,
107,济宁市,云南云天化股份有限公司,0,,0,,,,,,,
108,济宁市,兖矿集团有限公司???,0,0,,,,,,,,
109,冀州市,山西晋城无烟煤矿业集团有限责任公司,,,,,,,,,,
110,佳木斯市,黑龙江大龙生态肥股份有限公司,,1,,,,,,,,
111,佳木斯市,黑龙江倍丰农业生产资料集团有限公司,1,,,,,,,,,
112,焦作市,山西晋城无烟煤矿业集团有限责任公司,,,,,,,,,,
113,金昌市,中化化肥有限公司?,,1,,,,,,,,
114,金昌市,瓮福（集团）有限责任公司,1,,,,,,,,,
115,晋城市,天脊煤化工集团股份有限公司,,0,,,,,,,,
116,晋城市,山西晋城无烟煤矿业集团有限责任公司,0,,,,,,,,,
117,晋中市,阳煤化工股份有限公司,,,,,,,,,,
118,荆门市,中农集团控股股份有限公司?,,0,0,0,0,0,,,,
119,荆门市,中海石油化学股份有限公司,0,,0,0,1,1,,,,
120,荆门市,深圳市芭田生态工程股份有限公司,0,0,,0,3,0,,,,
121,荆门市,湖北洋丰集团股份有限公司,0,0,0,,0,0,,,,
122,荆门市,湖北新洋丰肥业股份有限公司,0,1,3,0,,2,,,,
123,荆门市,湖北鄂中生态工程股份有限公司,0,1,0,0,2,,,,,
124,荆州市,湖北宜化化工股份有限公司,,0,0,0,,,,,,
125,荆州市,成都云图控股股份有限公司,0,,0,0,,,,,,
126,荆州市,沧州大化集团有限责任公司,0,0,,0,,,,,,
127,荆州市,北京澳佳生态农业股份有限公司,0,0,0,,,,,,,
128,九江市,湖北新洋丰肥业股份有限公司,,,,,,,,,,
129,开封市,湖北鄂中生态工程股份有限公司???,,0,,,,,,,,
130,开封市,富利香港有限公司,0,,,,,,,,,
131,开远市,云南云天化股份有限公司,,0,,,,,,,,
132,开远市,云南煤化工集团有限公司???,0,,,,,,,,,
133,昆明市,中化化肥有限公司?,,0,1,2,1,0,0,,,
134,昆明市,云南云叶化肥股份有限公司???,0,,0,0,0,0,0,,,
135,昆明市,云南云天化股份有限公司,1,0,,0,0,0,0,,,
136,昆明市,云南祥丰化肥股份有限公司,2,0,0,,0,,,,,
